Phase,Requirement,Implementation Details,Status / Level,Source Code & References
Phase 1: Foundation,Core API & Express Setup,Express server written in TypeScript utilizing TSX. Includes basic health checks.,Exemplary (Level 3),src/server.ts
Phase 1: Foundation,Dynamic SQLite Backend,Dynamically loads and provisions a separate SQLite database file for each app inside the data folder.,Exemplary (Level 3),src/services/app.service.ts
Phase 1: Foundation,Token-Based Authentication,Protects app endpoints using Bearer Token authorization checking corresponding app metadata.,Exemplary (Level 3),src/middleware/auth.middleware.ts
Phase 1: Foundation,Schema & Table Management,Allows creating tables dynamically and viewing schema structures with supported SQLite types (TEXT, INTEGER, REAL, BOOLEAN).,Exemplary (Level 3),src/services/table.service.ts
Phase 1: Foundation,Row CRUD Operations,Supports dynamic inserts, reads, updates, and deletes of rows.,Exemplary (Level 3),src/routes/app.routes.ts
Phase 1: Foundation,Query Parameters,Supports basic filtering, ordering, and limiting through where, order, and limit URL query parameters.,Exemplary (Level 3),src/routes/app.routes.ts
Phase 1: Foundation,Automated Testing,End-to-end integration tests using Vitest and Supertest checking auth, table schemas, and data insertion.,Exemplary (Level 3),tests/app.test.ts
Phase 2: MCP Integration,MCP Server Setup,Utilizes @modelcontextprotocol/sdk to construct tools and schema definitions.,Exemplary (Level 3),src/mcp/server.ts
Phase 2: MCP Integration,Exposed MCP Tools,"Exposes operations like create_app, get_schema, create_table, alter_table, insert_row, query_rows, update_row, delete_row, get_upload_url, and publish_app.",Exemplary (Level 3),src/mcp/server.ts
Phase 2: MCP Integration,Stdio & HTTP Transports,Supports stdio protocol for CLI integration and streamable HTTP server transport exposed at POST /mcp in Express.,Exemplary (Level 3),src/server.ts & src/mcp/server.ts
Phase 2: MCP Integration,App Publishing Flow,Exposes functionality to upload and host single-page HTML applications generated by the AI assistant.,Exemplary (Level 3),src/services/generated-app.service.ts
Phase 3: File Uploads,VPS Upload Endpoints,Implements standard multipart upload paths returning stable filenames and temporary signed views.,Exemplary (Level 3),src/routes/app.routes.ts
Phase 3: File Uploads,File Safety Enforcements,Sets limits of 5 MB per file and 50 MB total quota per app. Verifies MIME types and Magic Bytes to prevent malicious scripts.,Exemplary (Level 3),src/middleware/upload.middleware.ts & src/services/file.service.ts
Phase 3: File Uploads,Signed Expiring URLs,Secures files by only serving them using unique SHA-256 HMAC signed URLs that expire automatically (e.g., after 1 hour).,Exemplary (Level 3),src/services/file.service.ts
Phase 3: File Uploads,File/Row Cleanup,Automatically deletes associated files when a row referencing *_file_name is deleted, and purges all files upon app deletion.,Exemplary (Level 3),src/services/app.service.ts & src/services/table.service.ts
Phase 4: Security & Guardrails,SQL Identifier Safety,Sanitizes and validates table names, column names, and query expressions to block SQL injection.,Exemplary (Level 3),src/services/identifier.service.ts
Phase 4: Security & Guardrails,Sensitive Schema Scan,"Detects high-risk column patterns (e.g., kennitala, health, address, allergy) and returns dynamic API/MCP warnings.",Exemplary (Level 3),src/services/sensitivity.service.ts
Phase 4: Security & Guardrails,Confirm Sensitive Fields,Rejects creating schemas with sensitive fields unless explicitly confirmed using a confirmSensitiveData flag.,Exemplary (Level 3),src/services/table.service.ts
Phase 4: Security & Guardrails,Data Retention Policies,New apps receive a default recommendation (e.g., end of school year). Retention schedules can be updated or read.,Exemplary (Level 3),src/routes/app.routes.ts
Phase 4: Security & Guardrails,Export Before Delete,Offers a backup API endpoint /apps/:id/export to retrieve data in a standard JSON schema format before purging.,Exemplary (Level 3),src/routes/app.routes.ts
Phase 4: Security & Guardrails,Rate Limiting,Restricts repetitive API requests per IP address to safeguard server availability.,Exemplary (Level 3),src/middleware/rate-limit.middleware.ts
Phase 4: Security & Guardrails,Audit Logs,Tracks critical database administrative events (e.g., app creation, deletions, schema modifications).,Exemplary (Level 3),src/services/audit.service.ts
Phase 4: Security & Guardrails,Teacher Compliance Guides,Detailed guides in English and Icelandic on classroom data hygiene and compliance (GDPR/FERPA).,Exemplary (Level 3),docs/data-protection-guide.md & docs/data-protection-guide.is.md
Phase 4: Security & Guardrails,App Security Checks,Validates generated single-page app HTML inputs to prevent injection of public files or hardcoded admin tokens.,Exemplary (Level 3),src/routes/ai.routes.ts
